system,split,parameter_name,parameter_value,default_threshold,precision,recall,f1,tp,fp,fn,tn,num_positive_edges,num_negative_edges,num_candidate_edges,graphs_evaluated,max_nodes,target_graphs,parent_temperature,weights_path,data_path
SN,normal,edge_threshold,0.59,0.6,0.80080232,0.99879227,0.88890595,5789,1440,7,68013,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.6,0.6,0.80313541,0.99879227,0.89034143,5789,1419,7,68034,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.61,0.6,0.80525803,0.99879227,0.8916442,5789,1400,7,68053,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.62,0.6,0.80750453,0.99879227,0.89301967,5789,1380,7,68073,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.63,0.6,0.80987689,0.99879227,0.89446848,5789,1359,7,68094,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.64,0.6,0.8118076,0.99879227,0.89564477,5789,1342,7,68111,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.65,0.6,0.81409085,0.99879227,0.89703262,5789,1322,7,68131,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.66,0.6,0.81636107,0.99861974,0.89833928,5788,1302,8,68151,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.67,0.6,0.81809187,0.99861974,0.89938622,5788,1287,8,68166,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.68,0.6,0.81983003,0.99861974,0.90043559,5788,1272,8,68181,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.69,0.6,0.82316119,0.99827467,0.90230019,5786,1243,10,68210,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
