=== TRAINING TT DATA ===
Epoch 141 | loss 0.2547 | node 0.2255 | edge 0.0271 | kl 0.1064 | beta 0.0200
Epoch 142 | loss 0.2647 | node 0.2317 | edge 0.0311 | kl 0.0963 | beta 0.0200
Epoch 143 | loss 0.2918 | node 0.2559 | edge 0.0332 | kl 0.1313 | beta 0.0200
Epoch 144 | loss 0.2699 | node 0.2375 | edge 0.0300 | kl 0.1201 | beta 0.0200
Epoch 145 | loss 0.2468 | node 0.2110 | edge 0.0339 | kl 0.0962 | beta 0.0200
Epoch 146 | loss 0.2714 | node 0.2399 | edge 0.0297 | kl 0.0845 | beta 0.0200
Epoch 147 | loss 0.2636 | node 0.2315 | edge 0.0299 | kl 0.1087 | beta 0.0200
Epoch 148 | loss 0.2225 | node 0.1920 | edge 0.0286 | kl 0.0928 | beta 0.0200
Epoch 149 | loss 0.2777 | node 0.2367 | edge 0.0389 | kl 0.1033 | beta 0.0200
Epoch 150 | loss 0.2567 | node 0.2266 | edge 0.0280 | kl 0.1056 | beta 0.0200
Epoch 151 | loss 0.2400 | node 0.2135 | edge 0.0250 | kl 0.0729 | beta 0.0200
Epoch 152 | loss 0.2847 | node 0.2552 | edge 0.0280 | kl 0.0718 | beta 0.0200
Epoch 153 | loss 0.2798 | node 0.2495 | edge 0.0277 | kl 0.1254 | beta 0.0200
Epoch 154 | loss 0.2564 | node 0.2216 | edge 0.0317 | kl 0.1556 | beta 0.0200
Epoch 155 | loss 0.2803 | node 0.2520 | edge 0.0257 | kl 0.1288 | beta 0.0200
Epoch 156 | loss 0.2557 | node 0.2274 | edge 0.0255 | kl 0.1378 | beta 0.0200
Epoch 157 | loss 0.2488 | node 0.2151 | edge 0.0316 | kl 0.1057 | beta 0.0200
Epoch 158 | loss 0.2303 | node 0.2024 | edge 0.0261 | kl 0.0892 | beta 0.0200
Epoch 159 | loss 0.2609 | node 0.2329 | edge 0.0261 | kl 0.0959 | beta 0.0200
Epoch 160 | loss 0.2883 | node 0.2522 | edge 0.0329 | kl 0.1632 | beta 0.0200
Epoch 161 | loss 0.2522 | node 0.2200 | edge 0.0289 | kl 0.1650 | beta 0.0200
Epoch 162 | loss 0.2923 | node 0.2606 | edge 0.0286 | kl 0.1554 | beta 0.0200
Epoch 163 | loss 0.2569 | node 0.2288 | edge 0.0253 | kl 0.1375 | beta 0.0200
Epoch 164 | loss 0.2497 | node 0.2204 | edge 0.0267 | kl 0.1321 | beta 0.0200
Epoch 165 | loss 0.2953 | node 0.2666 | edge 0.0256 | kl 0.1569 | beta 0.0200
Epoch 166 | loss 0.2371 | node 0.2095 | edge 0.0251 | kl 0.1247 | beta 0.0200
Epoch 167 | loss 0.2498 | node 0.2179 | edge 0.0298 | kl 0.1066 | beta 0.0200
Epoch 168 | loss 0.2644 | node 0.2325 | edge 0.0297 | kl 0.1118 | beta 0.0200
Epoch 169 | loss 0.2912 | node 0.2595 | edge 0.0289 | kl 0.1428 | beta 0.0200
Epoch 170 | loss 0.2542 | node 0.2250 | edge 0.0270 | kl 0.1126 | beta 0.0200
Epoch 171 | loss 0.2836 | node 0.2537 | edge 0.0276 | kl 0.1170 | beta 0.0200
Epoch 172 | loss 0.2552 | node 0.2283 | edge 0.0248 | kl 0.1058 | beta 0.0200
Epoch 173 | loss 0.2563 | node 0.2289 | edge 0.0257 | kl 0.0872 | beta 0.0200
Epoch 174 | loss 0.2756 | node 0.2483 | edge 0.0245 | kl 0.1346 | beta 0.0200
Epoch 175 | loss 0.2729 | node 0.2409 | edge 0.0287 | kl 0.1652 | beta 0.0200
Epoch 176 | loss 0.2355 | node 0.2105 | edge 0.0230 | kl 0.1038 | beta 0.0200
Epoch 177 | loss 0.2767 | node 0.2486 | edge 0.0250 | kl 0.1549 | beta 0.0200
Epoch 178 | loss 0.2894 | node 0.2598 | edge 0.0270 | kl 0.1319 | beta 0.0200
Epoch 179 | loss 0.2350 | node 0.2078 | edge 0.0250 | kl 0.1117 | beta 0.0200
Epoch 180 | loss 0.2488 | node 0.2168 | edge 0.0296 | kl 0.1200 | beta 0.0200
Epoch 181 | loss 0.2682 | node 0.2372 | edge 0.0285 | kl 0.1253 | beta 0.0200
Epoch 182 | loss 0.2472 | node 0.2198 | edge 0.0255 | kl 0.0956 | beta 0.0200
Epoch 183 | loss 0.2992 | node 0.2718 | edge 0.0250 | kl 0.1194 | beta 0.0200
Epoch 184 | loss 0.2676 | node 0.2388 | edge 0.0264 | kl 0.1243 | beta 0.0200
Epoch 185 | loss 0.2540 | node 0.2273 | edge 0.0248 | kl 0.0916 | beta 0.0200
Epoch 186 | loss 0.2737 | node 0.2450 | edge 0.0265 | kl 0.1108 | beta 0.0200
Epoch 187 | loss 0.2633 | node 0.2330 | edge 0.0279 | kl 0.1236 | beta 0.0200
Epoch 188 | loss 0.2914 | node 0.2594 | edge 0.0289 | kl 0.1562 | beta 0.0200
Epoch 189 | loss 0.2959 | node 0.2688 | edge 0.0242 | kl 0.1417 | beta 0.0200
Epoch 190 | loss 0.3514 | node 0.3183 | edge 0.0296 | kl 0.1744 | beta 0.0200
Epoch 191 | loss 0.2831 | node 0.2530 | edge 0.0264 | kl 0.1799 | beta 0.0200
Epoch 192 | loss 0.2329 | node 0.2080 | edge 0.0219 | kl 0.1465 | beta 0.0200
Epoch 193 | loss 0.2509 | node 0.2252 | edge 0.0233 | kl 0.1211 | beta 0.0200
Epoch 194 | loss 0.2295 | node 0.2042 | edge 0.0228 | kl 0.1239 | beta 0.0200
Epoch 195 | loss 0.2464 | node 0.2213 | edge 0.0219 | kl 0.1623 | beta 0.0200
Epoch 196 | loss 0.3030 | node 0.2710 | edge 0.0292 | kl 0.1408 | beta 0.0200
Epoch 197 | loss 0.2500 | node 0.2238 | edge 0.0235 | kl 0.1341 | beta 0.0200
Epoch 198 | loss 0.2411 | node 0.2166 | edge 0.0221 | kl 0.1195 | beta 0.0200
Epoch 199 | loss 0.2778 | node 0.2470 | edge 0.0284 | kl 0.1183 | beta 0.0200
Epoch 200 | loss 0.2530 | node 0.2183 | edge 0.0322 | kl 0.1245 | beta 0.0200
Epoch 201 | loss 0.2668 | node 0.2330 | edge 0.0306 | kl 0.1606 | beta 0.0200
Epoch 202 | loss 0.2734 | node 0.2439 | edge 0.0255 | kl 0.1999 | beta 0.0200
Epoch 203 | loss 0.2896 | node 0.2637 | edge 0.0232 | kl 0.1370 | beta 0.0200
Epoch 204 | loss 0.2211 | node 0.1971 | edge 0.0219 | kl 0.1061 | beta 0.0200
Epoch 205 | loss 0.2323 | node 0.2095 | edge 0.0209 | kl 0.0925 | beta 0.0200
Epoch 206 | loss 0.3056 | node 0.2717 | edge 0.0314 | kl 0.1268 | beta 0.0200
Epoch 207 | loss 0.2784 | node 0.2460 | edge 0.0295 | kl 0.1450 | beta 0.0200
Epoch 208 | loss 0.3154 | node 0.2789 | edge 0.0333 | kl 0.1620 | beta 0.0200
Epoch 209 | loss 0.2675 | node 0.2390 | edge 0.0257 | kl 0.1407 | beta 0.0200
Epoch 210 | loss 0.2535 | node 0.2266 | edge 0.0240 | kl 0.1455 | beta 0.0200
Epoch 211 | loss 0.3261 | node 0.2990 | edge 0.0236 | kl 0.1743 | beta 0.0200
Epoch 212 | loss 0.2595 | node 0.2340 | edge 0.0226 | kl 0.1431 | beta 0.0200
Epoch 213 | loss 0.2576 | node 0.2305 | edge 0.0244 | kl 0.1331 | beta 0.0200
Epoch 214 | loss 0.2413 | node 0.2178 | edge 0.0213 | kl 0.1077 | beta 0.0200
Epoch 215 | loss 0.2932 | node 0.2613 | edge 0.0288 | kl 0.1556 | beta 0.0200
Epoch 216 | loss 0.2921 | node 0.2647 | edge 0.0240 | kl 0.1712 | beta 0.0200
Epoch 217 | loss 0.2477 | node 0.2219 | edge 0.0225 | kl 0.1646 | beta 0.0200
Epoch 218 | loss 0.2297 | node 0.2042 | edge 0.0230 | kl 0.1259 | beta 0.0200
Epoch 219 | loss 0.2288 | node 0.2041 | edge 0.0226 | kl 0.1037 | beta 0.0200
