---------------- TT Dataset --------------------------------------------------
Epoch 169 | loss 0.2363 | node 0.2103 | edge 0.0244 | kl 0.0823 | beta 0.0200
Epoch 170 | loss 0.2687 | node 0.2405 | edge 0.0258 | kl 0.1185 | beta 0.0200
Epoch 171 | loss 0.2205 | node 0.1972 | edge 0.0218 | kl 0.0747 | beta 0.0200
Epoch 172 | loss 0.2361 | node 0.2099 | edge 0.0241 | kl 0.1021 | beta 0.0200
Epoch 173 | loss 0.2471 | node 0.2226 | edge 0.0223 | kl 0.1105 | beta 0.0200
Epoch 174 | loss 0.2434 | node 0.2131 | edge 0.0282 | kl 0.1016 | beta 0.0200
Epoch 175 | loss 0.2546 | node 0.2265 | edge 0.0257 | kl 0.1232 | beta 0.0200
Epoch 176 | loss 0.2870 | node 0.2538 | edge 0.0293 | kl 0.1940 | beta 0.0200
Epoch 177 | loss 0.2296 | node 0.2053 | edge 0.0217 | kl 0.1291 | beta 0.0200
Epoch 178 | loss 0.2629 | node 0.2360 | edge 0.0240 | kl 0.1385 | beta 0.0200
Epoch 179 | loss 0.2638 | node 0.2389 | edge 0.0229 | kl 0.0969 | beta 0.0200
Epoch 180 | loss 0.2786 | node 0.2532 | edge 0.0234 | kl 0.1000 | beta 0.0200
Epoch 181 | loss 0.2717 | node 0.2438 | edge 0.0255 | kl 0.1244 | beta 0.0200
Epoch 182 | loss 0.2466 | node 0.2217 | edge 0.0230 | kl 0.0983 | beta 0.0200
Epoch 183 | loss 0.2663 | node 0.2390 | edge 0.0253 | kl 0.0976 | beta 0.0200
Epoch 184 | loss 0.2883 | node 0.2581 | edge 0.0276 | kl 0.1257 | beta 0.0200
Epoch 185 | loss 0.2536 | node 0.2288 | edge 0.0226 | kl 0.1058 | beta 0.0200
Epoch 186 | loss 0.2899 | node 0.2656 | edge 0.0221 | kl 0.1104 | beta 0.0200
Epoch 187 | loss 0.2836 | node 0.2547 | edge 0.0260 | kl 0.1391 | beta 0.0200
Epoch 188 | loss 0.2822 | node 0.2565 | edge 0.0233 | kl 0.1207 | beta 0.0200
Epoch 189 | loss 0.2927 | node 0.2669 | edge 0.0234 | kl 0.1176 | beta 0.0200
Epoch 190 | loss 0.3033 | node 0.2750 | edge 0.0250 | kl 0.1655 | beta 0.0200
Epoch 191 | loss 0.2490 | node 0.2247 | edge 0.0219 | kl 0.1213 | beta 0.0200
Epoch 192 | loss 0.2595 | node 0.2345 | edge 0.0227 | kl 0.1143 | beta 0.0200
Epoch 193 | loss 0.2417 | node 0.2190 | edge 0.0206 | kl 0.1038 | beta 0.0200
Epoch 194 | loss 0.2756 | node 0.2459 | edge 0.0271 | kl 0.1289 | beta 0.0200
Epoch 195 | loss 0.2754 | node 0.2505 | edge 0.0220 | kl 0.1515 | beta 0.0200
Epoch 196 | loss 0.2809 | node 0.2570 | edge 0.0213 | kl 0.1286 | beta 0.0200
Epoch 197 | loss 0.2620 | node 0.2374 | edge 0.0224 | kl 0.1077 | beta 0.0200
Epoch 198 | loss 0.2644 | node 0.2385 | edge 0.0233 | kl 0.1291 | beta 0.0200
Epoch 199 | loss 0.2387 | node 0.2151 | edge 0.0212 | kl 0.1179 | beta 0.0200
Epoch 200 | loss 0.2514 | node 0.2266 | edge 0.0228 | kl 0.1036 | beta 0.0200
Epoch 201 | loss 0.2573 | node 0.2338 | edge 0.0214 | kl 0.1032 | beta 0.0200
Epoch 202 | loss 0.2892 | node 0.2622 | edge 0.0240 | kl 0.1484 | beta 0.0200
Epoch 203 | loss 0.2506 | node 0.2258 | edge 0.0224 | kl 0.1205 | beta 0.0200
Epoch 204 | loss 0.2409 | node 0.2199 | edge 0.0186 | kl 0.1179 | beta 0.0200
Epoch 205 | loss 0.2557 | node 0.2182 | edge 0.0344 | kl 0.1568 | beta 0.0200
Epoch 206 | loss 0.2436 | node 0.2188 | edge 0.0223 | kl 0.1256 | beta 0.0200
Epoch 207 | loss 0.2818 | node 0.2584 | edge 0.0203 | kl 0.1587 | beta 0.0200
Epoch 208 | loss 0.2547 | node 0.2302 | edge 0.0209 | kl 0.1781 | beta 0.0200
Epoch 209 | loss 0.2525 | node 0.2278 | edge 0.0218 | kl 0.1488 | beta 0.0200
Epoch 210 | loss 0.2456 | node 0.2226 | edge 0.0206 | kl 0.1242 | beta 0.0200
Epoch 211 | loss 0.2361 | node 0.2114 | edge 0.0219 | kl 0.1415 | beta 0.0200
Epoch 212 | loss 0.2543 | node 0.2305 | edge 0.0211 | kl 0.1354 | beta 0.0200
Epoch 213 | loss 0.2428 | node 0.2179 | edge 0.0224 | kl 0.1287 | beta 0.0200
Epoch 214 | loss 0.2766 | node 0.2517 | edge 0.0220 | kl 0.1426 | beta 0.0200
Epoch 215 | loss 0.2890 | node 0.2614 | edge 0.0234 | kl 0.2138 | beta 0.0200
Epoch 216 | loss 0.2425 | node 0.2145 | edge 0.0247 | kl 0.1655 | beta 0.0200
Epoch 217 | loss 0.2885 | node 0.2587 | edge 0.0266 | kl 0.1604 | beta 0.0200
Epoch 218 | loss 0.3167 | node 0.2941 | edge 0.0193 | kl 0.1675 | beta 0.0200
Epoch 219 | loss 0.2568 | node 0.2342 | edge 0.0193 | kl 0.1634 | beta 0.0200
Epoch 220 | loss 0.3053 | node 0.2804 | edge 0.0219 | kl 0.1505 | beta 0.0200
Epoch 221 | loss 0.2463 | node 0.2206 | edge 0.0231 | kl 0.1312 | beta 0.0200
Epoch 222 | loss 0.2532 | node 0.2298 | edge 0.0209 | kl 0.1251 | beta 0.0200
Epoch 223 | loss 0.3188 | node 0.2923 | edge 0.0233 | kl 0.1604 | beta 0.0200
Epoch 224 | loss 0.2431 | node 0.2149 | edge 0.0245 | kl 0.1854 | beta 0.0200
Epoch 225 | loss 0.2717 | node 0.2421 | edge 0.0262 | kl 0.1696 | beta 0.0200
Epoch 226 | loss 0.2499 | node 0.2238 | edge 0.0233 | kl 0.1435 | beta 0.0200
Epoch 227 | loss 0.2497 | node 0.2265 | edge 0.0200 | kl 0.1581 | beta 0.0200
Epoch 228 | loss 0.2300 | node 0.2040 | edge 0.0234 | kl 0.1330 | beta 0.0200
Epoch 229 | loss 0.2798 | node 0.2553 | edge 0.0219 | kl 0.1260 | beta 0.0200
Epoch 230 | loss 0.2818 | node 0.2511 | edge 0.0280 | kl 0.1357 | beta 0.0200
Epoch 231 | loss 0.2328 | node 0.2079 | edge 0.0227 | kl 0.1102 | beta 0.0200
Epoch 232 | loss 0.2840 | node 0.2589 | edge 0.0217 | kl 0.1751 | beta 0.0200
Epoch 233 | loss 0.2602 | node 0.2367 | edge 0.0199 | kl 0.1807 | beta 0.0200
Epoch 234 | loss 0.2856 | node 0.2615 | edge 0.0207 | kl 0.1727 | beta 0.0200
Epoch 235 | loss 0.2626 | node 0.2385 | edge 0.0208 | kl 0.1640 | beta 0.0200
Epoch 236 | loss 0.2147 | node 0.1937 | edge 0.0186 | kl 0.1173 | beta 0.0200
Epoch 237 | loss 0.2359 | node 0.2105 | edge 0.0229 | kl 0.1222 | beta 0.0200
Epoch 238 | loss 0.2175 | node 0.1959 | edge 0.0195 | kl 0.1044 | beta 0.0200
Epoch 239 | loss 0.2756 | node 0.2529 | edge 0.0204 | kl 0.1182 | beta 0.0200
Epoch 240 | loss 0.2504 | node 0.2283 | edge 0.0203 | kl 0.0915 | beta 0.0200
Epoch 241 | loss 0.2603 | node 0.2396 | edge 0.0185 | kl 0.1067 | beta 0.0200
Epoch 242 | loss 0.2323 | node 0.2106 | edge 0.0191 | kl 0.1340 | beta 0.0200
Epoch 243 | loss 0.2195 | node 0.1960 | edge 0.0207 | kl 0.1369 | beta 0.0200
Epoch 244 | loss 0.2363 | node 0.2123 | edge 0.0210 | kl 0.1490 | beta 0.0200
Epoch 245 | loss 0.2527 | node 0.2277 | edge 0.0225 | kl 0.1272 | beta 0.0200
Epoch 246 | loss 0.2662 | node 0.2423 | edge 0.0214 | kl 0.1276 | beta 0.0200
Epoch 247 | loss 0.2518 | node 0.2225 | edge 0.0266 | kl 0.1372 | beta 0.0200
Epoch 248 | loss 0.2453 | node 0.2170 | edge 0.0248 | kl 0.1685 | beta 0.0200
Epoch 249 | loss 0.2391 | node 0.2143 | edge 0.0213 | kl 0.1774 | beta 0.0200
Epoch 250 | loss 0.2424 | node 0.2197 | edge 0.0197 | kl 0.1519 | beta 0.0200
Epoch 251 | loss 0.2518 | node 0.2316 | edge 0.0178 | kl 0.1168 | beta 0.0200
Epoch 252 | loss 0.2350 | node 0.2119 | edge 0.0196 | kl 0.1737 | beta 0.0200
Epoch 253 | loss 0.2784 | node 0.2574 | edge 0.0182 | kl 0.1410 | beta 0.0200
Epoch 254 | loss 0.2690 | node 0.2471 | edge 0.0192 | kl 0.1373 | beta 0.0200
Epoch 255 | loss 0.2753 | node 0.2516 | edge 0.0204 | kl 0.1630 | beta 0.0200
Epoch 256 | loss 0.2196 | node 0.1962 | edge 0.0208 | kl 0.1279 | beta 0.0200
