=== TRAINING SN DATA ===
Epoch 147 | loss 0.1464 | node 0.1240 | edge 0.0217 | kl 0.0321 | beta 0.0200
Epoch 148 | loss 0.1420 | node 0.1196 | edge 0.0217 | kl 0.0327 | beta 0.0200
Epoch 149 | loss 0.1322 | node 0.1163 | edge 0.0154 | kl 0.0242 | beta 0.0200
Epoch 150 | loss 0.1439 | node 0.1194 | edge 0.0239 | kl 0.0320 | beta 0.0200
Epoch 151 | loss 0.1468 | node 0.1239 | edge 0.0223 | kl 0.0331 | beta 0.0200
Epoch 152 | loss 0.1416 | node 0.1227 | edge 0.0184 | kl 0.0274 | beta 0.0200
Epoch 153 | loss 0.1399 | node 0.1171 | edge 0.0221 | kl 0.0315 | beta 0.0200
Epoch 154 | loss 0.1378 | node 0.1160 | edge 0.0212 | kl 0.0299 | beta 0.0200
Epoch 155 | loss 0.1330 | node 0.1150 | edge 0.0175 | kl 0.0253 | beta 0.0200
Epoch 156 | loss 0.1447 | node 0.1216 | edge 0.0225 | kl 0.0322 | beta 0.0200
Epoch 157 | loss 0.1516 | node 0.1266 | edge 0.0242 | kl 0.0397 | beta 0.0200
Epoch 158 | loss 0.1380 | node 0.1183 | edge 0.0191 | kl 0.0292 | beta 0.0200
Epoch 159 | loss 0.1398 | node 0.1188 | edge 0.0205 | kl 0.0283 | beta 0.0200
Epoch 160 | loss 0.1445 | node 0.1204 | edge 0.0234 | kl 0.0374 | beta 0.0200
Epoch 161 | loss 0.1355 | node 0.1167 | edge 0.0182 | kl 0.0287 | beta 0.0200
Epoch 162 | loss 0.1384 | node 0.1147 | edge 0.0230 | kl 0.0328 | beta 0.0200
Epoch 163 | loss 0.1408 | node 0.1191 | edge 0.0211 | kl 0.0307 | beta 0.0200
Epoch 164 | loss 0.1387 | node 0.1167 | edge 0.0214 | kl 0.0315 | beta 0.0200
Epoch 165 | loss 0.1355 | node 0.1190 | edge 0.0159 | kl 0.0267 | beta 0.0200
Epoch 166 | loss 0.1333 | node 0.1149 | edge 0.0179 | kl 0.0231 | beta 0.0200
Epoch 167 | loss 0.1360 | node 0.1162 | edge 0.0193 | kl 0.0261 | beta 0.0200
Epoch 168 | loss 0.1396 | node 0.1175 | edge 0.0216 | kl 0.0282 | beta 0.0200
Epoch 169 | loss 0.1415 | node 0.1203 | edge 0.0205 | kl 0.0311 | beta 0.0200
Epoch 170 | loss 0.1397 | node 0.1181 | edge 0.0210 | kl 0.0339 | beta 0.0200
Epoch 171 | loss 0.1387 | node 0.1175 | edge 0.0205 | kl 0.0323 | beta 0.0200
Epoch 172 | loss 0.1310 | node 0.1144 | edge 0.0161 | kl 0.0258 | beta 0.0200
Epoch 173 | loss 0.1339 | node 0.1143 | edge 0.0191 | kl 0.0268 | beta 0.0200
Epoch 174 | loss 0.1375 | node 0.1143 | edge 0.0226 | kl 0.0296 | beta 0.0200
Epoch 175 | loss 0.1342 | node 0.1140 | edge 0.0196 | kl 0.0320 | beta 0.0200
Epoch 176 | loss 0.1387 | node 0.1164 | edge 0.0217 | kl 0.0312 | beta 0.0200
Epoch 177 | loss 0.1395 | node 0.1168 | edge 0.0220 | kl 0.0325 | beta 0.0200
Epoch 178 | loss 0.1374 | node 0.1183 | edge 0.0184 | kl 0.0313 | beta 0.0200
Epoch 179 | loss 0.1384 | node 0.1202 | edge 0.0176 | kl 0.0281 | beta 0.0200
Epoch 180 | loss 0.1354 | node 0.1155 | edge 0.0194 | kl 0.0280 | beta 0.0200
Epoch 181 | loss 0.1334 | node 0.1127 | edge 0.0202 | kl 0.0293 | beta 0.0200
Epoch 182 | loss 0.1303 | node 0.1122 | edge 0.0176 | kl 0.0250 | beta 0.0200
Epoch 183 | loss 0.1277 | node 0.1095 | edge 0.0178 | kl 0.0252 | beta 0.0200
Epoch 184 | loss 0.1313 | node 0.1111 | edge 0.0197 | kl 0.0284 | beta 0.0200
Epoch 185 | loss 0.1300 | node 0.1108 | edge 0.0186 | kl 0.0280 | beta 0.0200
Epoch 186 | loss 0.1335 | node 0.1147 | edge 0.0183 | kl 0.0266 | beta 0.0200
Epoch 187 | loss 0.1387 | node 0.1167 | edge 0.0213 | kl 0.0331 | beta 0.0200
Epoch 188 | loss 0.1405 | node 0.1181 | edge 0.0217 | kl 0.0351 | beta 0.0200
Epoch 189 | loss 0.1350 | node 0.1146 | edge 0.0197 | kl 0.0334 | beta 0.0200
Epoch 190 | loss 0.1390 | node 0.1177 | edge 0.0207 | kl 0.0301 | beta 0.0200
Epoch 191 | loss 0.1310 | node 0.1155 | edge 0.0150 | kl 0.0260 | beta 0.0200
Epoch 192 | loss 0.1301 | node 0.1112 | edge 0.0184 | kl 0.0254 | beta 0.0200
Epoch 193 | loss 0.1324 | node 0.1147 | edge 0.0171 | kl 0.0293 | beta 0.0200
Epoch 194 | loss 0.1266 | node 0.1080 | edge 0.0181 | kl 0.0242 | beta 0.0200
Epoch 195 | loss 0.1325 | node 0.1118 | edge 0.0202 | kl 0.0274 | beta 0.0200
Epoch 196 | loss 0.1297 | node 0.1137 | edge 0.0155 | kl 0.0252 | beta 0.0200
Epoch 197 | loss 0.1338 | node 0.1146 | edge 0.0186 | kl 0.0261 | beta 0.0200
Epoch 198 | loss 0.1314 | node 0.1119 | edge 0.0190 | kl 0.0281 | beta 0.0200
Epoch 199 | loss 0.1353 | node 0.1143 | edge 0.0204 | kl 0.0287 | beta 0.0200
Epoch 200 | loss 0.1378 | node 0.1178 | edge 0.0194 | kl 0.0332 | beta 0.0200
Epoch 201 | loss 0.1304 | node 0.1110 | edge 0.0189 | kl 0.0267 | beta 0.0200
Epoch 202 | loss 0.1296 | node 0.1145 | edge 0.0146 | kl 0.0233 | beta 0.0200
Epoch 203 | loss 0.1367 | node 0.1154 | edge 0.0206 | kl 0.0316 | beta 0.0200
Epoch 204 | loss 0.1299 | node 0.1102 | edge 0.0191 | kl 0.0302 | beta 0.0200
Epoch 205 | loss 0.1272 | node 0.1108 | edge 0.0158 | kl 0.0275 | beta 0.0200
Epoch 206 | loss 0.1295 | node 0.1110 | edge 0.0180 | kl 0.0275 | beta 0.0200
Epoch 207 | loss 0.1322 | node 0.1124 | edge 0.0192 | kl 0.0277 | beta 0.0200
Epoch 208 | loss 0.1390 | node 0.1179 | edge 0.0204 | kl 0.0333 | beta 0.0200
Epoch 209 | loss 0.1385 | node 0.1121 | edge 0.0256 | kl 0.0385 | beta 0.0200
Epoch 210 | loss 0.1310 | node 0.1124 | edge 0.0181 | kl 0.0278 | beta 0.0200
Epoch 211 | loss 0.1315 | node 0.1096 | edge 0.0213 | kl 0.0303 | beta 0.0200
Epoch 212 | loss 0.1325 | node 0.1105 | edge 0.0213 | kl 0.0326 | beta 0.0200
Epoch 213 | loss 0.1276 | node 0.1105 | edge 0.0165 | kl 0.0262 | beta 0.0200
Epoch 214 | loss 0.1280 | node 0.1119 | edge 0.0156 | kl 0.0260 | beta 0.0200
Epoch 215 | loss 0.1282 | node 0.1091 | edge 0.0185 | kl 0.0319 | beta 0.0200
Epoch 216 | loss 0.1228 | node 0.1063 | edge 0.0160 | kl 0.0255 | beta 0.0200
Epoch 217 | loss 0.1310 | node 0.1139 | edge 0.0167 | kl 0.0242 | beta 0.0200
Epoch 218 | loss 0.1289 | node 0.1129 | edge 0.0154 | kl 0.0262 | beta 0.0200
Epoch 219 | loss 0.1255 | node 0.1066 | edge 0.0184 | kl 0.0279 | beta 0.0200
Epoch 220 | loss 0.1380 | node 0.1151 | edge 0.0222 | kl 0.0333 | beta 0.0200
Epoch 221 | loss 0.1303 | node 0.1112 | edge 0.0185 | kl 0.0274 | beta 0.0200
Epoch 222 | loss 0.1291 | node 0.1120 | edge 0.0166 | kl 0.0267 | beta 0.0200
Epoch 223 | loss 0.1236 | node 0.1072 | edge 0.0159 | kl 0.0237 | beta 0.0200
Epoch 224 | loss 0.1324 | node 0.1134 | edge 0.0185 | kl 0.0287 | beta 0.0200
Epoch 225 | loss 0.1290 | node 0.1080 | edge 0.0203 | kl 0.0341 | beta 0.0200
Epoch 226 | loss 0.1268 | node 0.1105 | edge 0.0158 | kl 0.0255 | beta 0.0200
Epoch 227 | loss 0.1357 | node 0.1160 | edge 0.0190 | kl 0.0298 | beta 0.0200
Epoch 228 | loss 0.1274 | node 0.1109 | edge 0.0160 | kl 0.0250 | beta 0.0200
Epoch 229 | loss 0.1272 | node 0.1095 | edge 0.0171 | kl 0.0284 | beta 0.0200
Epoch 230 | loss 0.1257 | node 0.1073 | edge 0.0179 | kl 0.0265 | beta 0.0200
Epoch 231 | loss 0.1287 | node 0.1097 | edge 0.0185 | kl 0.0265 | beta 0.0200
Epoch 232 | loss 0.1269 | node 0.1092 | edge 0.0171 | kl 0.0288 | beta 0.0200
Epoch 233 | loss 0.1255 | node 0.1084 | edge 0.0165 | kl 0.0256 | beta 0.0200
Epoch 234 | loss 0.1271 | node 0.1117 | edge 0.0149 | kl 0.0222 | beta 0.0200
Epoch 235 | loss 0.1484 | node 0.1325 | edge 0.0151 | kl 0.0392 | beta 0.0200
Epoch 236 | loss 0.1274 | node 0.1087 | edge 0.0182 | kl 0.0298 | beta 0.0200
Epoch 237 | loss 0.1253 | node 0.1052 | edge 0.0195 | kl 0.0320 | beta 0.0200
Epoch 238 | loss 0.1254 | node 0.1058 | edge 0.0190 | kl 0.0267 | beta 0.0200
Epoch 239 | loss 0.1259 | node 0.1089 | edge 0.0166 | kl 0.0264 | beta 0.0200
Epoch 240 | loss 0.1220 | node 0.1057 | edge 0.0158 | kl 0.0227 | beta 0.0200
Epoch 241 | loss 0.1232 | node 0.1080 | edge 0.0148 | kl 0.0220 | beta 0.0200
Epoch 242 | loss 0.1267 | node 0.1087 | edge 0.0173 | kl 0.0302 | beta 0.0200
Epoch 243 | loss 0.1258 | node 0.1085 | edge 0.0167 | kl 0.0273 | beta 0.0200
Epoch 244 | loss 0.1247 | node 0.1078 | edge 0.0164 | kl 0.0294 | beta 0.0200
Epoch 245 | loss 0.1235 | node 0.1069 | edge 0.0162 | kl 0.0238 | beta 0.0200
Epoch 246 | loss 0.1221 | node 0.1036 | edge 0.0179 | kl 0.0277 | beta 0.0200
Epoch 247 | loss 0.1233 | node 0.1066 | edge 0.0162 | kl 0.0267 | beta 0.0200
Epoch 248 | loss 0.1250 | node 0.1078 | edge 0.0168 | kl 0.0235 | beta 0.0200
Epoch 249 | loss 0.1261 | node 0.1081 | edge 0.0175 | kl 0.0247 | beta 0.0200
Epoch 250 | loss 0.1232 | node 0.1074 | edge 0.0152 | kl 0.0263 | beta 0.0200
Epoch 251 | loss 0.1247 | node 0.1038 | edge 0.0204 | kl 0.0266 | beta 0.0200
Epoch 252 | loss 0.1237 | node 0.1061 | edge 0.0171 | kl 0.0235 | beta 0.0200
Epoch 253 | loss 0.1281 | node 0.1101 | edge 0.0174 | kl 0.0273 | beta 0.0200
Epoch 254 | loss 0.1328 | node 0.1132 | edge 0.0190 | kl 0.0322 | beta 0.0200
Epoch 255 | loss 0.1296 | node 0.1105 | edge 0.0185 | kl 0.0311 | beta 0.0200
Epoch 256 | loss 0.1241 | node 0.1073 | edge 0.0163 | kl 0.0253 | beta 0.0200
Epoch 257 | loss 0.1275 | node 0.1060 | edge 0.0209 | kl 0.0296 | beta 0.0200
Epoch 258 | loss 0.1236 | node 0.1065 | edge 0.0165 | kl 0.0282 | beta 0.0200
Epoch 259 | loss 0.1329 | node 0.1137 | edge 0.0186 | kl 0.0313 | beta 0.0200
Epoch 260 | loss 0.1369 | node 0.1170 | edge 0.0191 | kl 0.0384 | beta 0.0200
Epoch 261 | loss 0.1245 | node 0.1084 | edge 0.0155 | kl 0.0288 | beta 0.0200
Epoch 262 | loss 0.1207 | node 0.1048 | edge 0.0155 | kl 0.0226 | beta 0.0200
Epoch 263 | loss 0.1250 | node 0.1086 | edge 0.0159 | kl 0.0273 | beta 0.0200
Epoch 264 | loss 0.1247 | node 0.1069 | edge 0.0173 | kl 0.0266 | beta 0.0200
Epoch 265 | loss 0.1280 | node 0.1105 | edge 0.0170 | kl 0.0259 | beta 0.0200
Epoch 266 | loss 0.1199 | node 0.1032 | edge 0.0162 | kl 0.0268 | beta 0.0200
Epoch 267 | loss 0.1283 | node 0.1105 | edge 0.0172 | kl 0.0293 | beta 0.0200
Epoch 268 | loss 0.1227 | node 0.1057 | edge 0.0164 | kl 0.0269 | beta 0.0200
Epoch 269 | loss 0.1241 | node 0.1082 | edge 0.0153 | kl 0.0254 | beta 0.0200
